CODGEO;NB_A101;NB_A104;NB_A105;NB_A108;NB_A109;NB_A120;NB_A121;NB_A122;NB_A124;NB_A125;NB_A126;NB_A128;NB_A129;NB_A130;NB_A131;NB_A132;NB_A203;NB_A205;NB_A206;NB_A207;NB_A208;NB_A301;NB_A302;NB_A303;NB_A304;NB_A401;NB_A402;NB_A403;NB_A404;NB_A405;NB_A406;NB_A501;NB_A502;NB_A503;NB_A504;NB_A505;NB_A506;NB_A507
01147;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;0;1;0;1;0;0;1;0;0;0
01148;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;6;0;0;0;5;0;2;3;1;0;4;0;0;4;0;0;2
01149;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;0;0;0;0;0;1
01150;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
01151;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;2;0;2;0;1;0;0;1;2;0;1
01152;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;1;0;1;0;0;2;0;0;0
01153;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;1;0;0;0;3;3;0;1
01155;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
01156;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;1;0;0;3;1;0;0
01157;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;9;1;0;0;3;3;10;5;5;1;4;0;0;6;5;1;4
01158;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
01159;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;13;1;0;0;6;5;3;4;3;1;7;0;1;5;5;0;4
01160;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;1;1;0;0;0;0;6;3;7;8;2;5;10;1;17;1;0;46;30;3;17
01162;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01163;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;0;0;2;8;3;3;5;0;3;0;0;4;2;0;2
01165;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;3;2;0;1;0;0;2;3;0;0
01166;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;1;0;0;3;2;6;3;4;1;3;0;0;1;6;0;1
01167;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;2;0;1;0;0;1;0;0;0
01169;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;3;0;1;0;0;0;0;0;2;0;0
01170;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;3;1;0;0;1;0;0;2;1;0;0
01171;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;3;4;1;1;0;0;0;0;0;0;0;0;0
01173;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;8;2;1;0;0;12;2;2;3;11;9;11;11;7;6;11;2;0;30;10;0;12
01174;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0
01175;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;0;2;0;0;0;0;1;0;0;1
01177;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01179;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;5;4;2;5;0;3;0;1;6;3;0;4
01180;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;1;1;0;0;6;0;0;1
