CODGEO;Physiologique;Sécurité;Appartenance;Estime;Actualisation de soi;Cognitif
2292;0;0;0;0;0;0
2293;0;0;4;0;0;0
2294;0;0;4;0;0;0
2295;0;0;4;0;0;0
2296;0;134;0;0;0;0
2297;0;0;4;0;0;0
2298;0;0;4;0;0;0
2299;0;0;0;0;0;0
2302;0;0;0;0;0;0
2303;0;0;4;65;46;70
2304;54;67;8;10;23;35
2305;54;67;8;5;0;0
2306;0;0;8;0;0;0
2307;54;67;4;0;0;0
2308;0;0;4;0;0;0
2309;0;0;4;0;0;0
2310;0;0;0;0;0;0
2311;0;0;0;0;0;0
2312;0;0;4;0;0;0
2313;0;0;0;0;0;0
2315;0;134;0;5;0;35
2316;0;0;0;0;0;0
2317;0;0;0;0;0;0
2318;0;0;4;0;0;0
2319;0;0;4;0;23;0
2320;0;0;0;0;0;0
2321;0;0;4;0;0;0
2322;0;0;4;0;0;0
2323;0;0;0;0;0;0
2324;0;0;0;0;0;0
2326;0;0;4;0;0;0
2327;0;0;4;0;0;0
2328;0;0;4;0;0;35
2329;0;0;0;0;0;0
2330;0;0;4;0;0;0
2331;0;0;0;0;0;0
2332;0;0;0;0;0;0
2333;0;0;4;0;0;0
2334;0;0;4;5;0;0
2335;0;0;0;0;0;0
2336;0;0;0;0;0;0
2337;0;0;0;0;0;0
2338;0;0;0;0;0;0
2339;0;0;8;0;0;0
2340;54;0;28;5;0;35
2341;0;0;0;0;0;0
2342;0;0;0;0;0;0
2343;0;0;0;0;0;0
2345;0;0;0;0;0;0
2346;0;0;0;0;0;0
2347;0;0;0;0;0;0
2349;0;0;0;0;0;0
2350;0;0;4;0;0;0
2351;0;0;0;0;0;0
2352;0;0;0;0;0;0
2353;0;0;4;0;0;0
2354;0;0;0;0;0;0
2355;0;0;4;5;0;0
2356;0;0;0;0;0;0
2357;0;0;0;0;0;0
2358;0;0;4;0;0;0
2359;0;0;4;0;0;0
2360;54;0;8;0;0;0
2361;108;134;12;20;23;35
2362;0;0;4;0;0;0
2363;0;0;0;0;0;0
2364;0;0;0;0;0;0
2366;0;0;4;0;0;0
2367;0;0;0;0;0;0
2368;0;0;4;0;0;0
2369;0;0;0;0;0;0
2370;0;0;4;0;0;0
2371;0;0;0;5;0;0
2372;0;0;0;0;0;0
2373;0;0;4;0;0;0
2374;0;0;4;0;0;0
2375;0;0;0;0;0;0
2376;0;0;0;0;0;0
2377;0;0;0;0;0;0
2378;0;0;4;0;0;0
2379;0;0;0;0;0;0
2380;0;0;0;0;0;0
2381;54;134;32;45;0;105
2382;0;0;8;0;0;0
2383;0;0;0;0;0;0
2384;0;0;0;0;0;0
2385;0;0;0;0;0;0
2386;0;0;0;0;0;0
2387;0;0;4;0;0;0
2388;0;0;4;0;0;0
2389;0;0;4;0;0;0
2390;0;0;0;0;0;0
2391;0;0;0;0;0;0
2392;0;0;4;0;0;0
2393;0;0;4;0;0;0
2395;0;0;0;0;0;0
2396;0;0;0;0;0;0
2397;0;0;4;0;0;0
2398;0;0;4;0;0;0
2399;0;0;0;0;0;0
2400;0;0;0;0;0;0
2401;0;0;0;0;0;0
2402;0;0;0;0;0;0
2403;0;0;4;0;0;0
2404;0;0;0;0;0;0
2405;0;0;4;0;0;0
2406;0;0;0;0;0;0
2407;0;0;4;0;0;0
2408;216;134;28;150;92;280
2409;0;0;0;0;0;0
2410;0;0;0;0;0;0
2411;0;0;4;0;0;0
2412;0;0;4;0;0;0
2413;0;0;4;0;0;0
2414;0;0;0;0;0;0
2415;0;0;0;0;0;0
2416;0;0;4;0;0;0
2417;0;0;0;0;0;0
2418;0;0;0;0;0;0
2419;0;0;0;0;0;0
2420;0;0;0;0;0;0
2421;0;0;0;0;0;0
2422;0;0;0;0;0;0
2423;0;0;0;0;0;0
2424;0;0;0;0;0;0
2425;0;0;0;0;0;0
2426;0;0;4;0;0;0
2427;0;0;0;0;0;0
2428;0;0;0;0;0;0
2429;0;0;0;0;0;0
2430;0;67;4;0;0;35
2431;0;0;0;0;0;0
2432;0;0;0;0;0;0
2433;0;0;4;0;0;0
2435;0;0;0;0;0;0
2438;0;0;0;0;0;0
2439;0;0;8;0;0;0
2440;0;0;4;0;0;0
2441;0;0;0;0;0;0
2442;0;0;0;0;0;0
2443;0;0;0;0;0;0
2444;0;0;4;0;0;0
2445;0;0;4;0;0;0
2446;0;0;0;0;0;0
2447;0;0;0;0;0;0
2448;0;0;0;0;0;0
2449;0;0;0;0;0;0
2450;0;0;8;0;0;0
2451;0;0;4;0;0;0
2452;0;0;4;0;0;0
2453;0;0;4;0;0;0
2454;0;0;0;0;0;0
2455;0;0;0;0;0;0
2456;0;0;0;0;0;0
2457;0;0;4;0;0;0
2458;0;67;4;0;0;0
2459;0;0;4;0;0;0
2460;0;0;0;0;0;0
2461;0;0;4;0;0;0
2462;0;0;0;0;0;0
2463;0;0;0;0;0;0
2464;0;0;0;0;0;0
2465;0;0;0;0;0;0
2466;0;0;4;0;0;0
2467;0;0;0;0;0;0
2468;0;67;4;0;0;35
2469;0;0;4;0;0;0
2470;0;0;4;0;0;0
2471;0;0;0;0;0;0
2472;0;0;4;0;0;0
2473;0;0;0;5;0;0
2474;0;0;0;0;0;0
2476;0;0;0;0;0;0
2477;0;0;4;0;0;0
2478;0;0;0;0;0;0
2480;0;0;4;0;23;0
2481;0;0;0;0;23;0
2482;0;0;0;0;0;0
2483;54;0;4;0;0;0
2484;0;0;8;0;0;0
2485;0;0;4;0;0;0
2486;0;0;0;0;0;0
2487;0;0;4;0;0;0
2488;0;0;0;0;0;0
2489;0;0;4;0;0;0
2490;0;0;0;0;0;0
2491;0;0;4;0;0;0
2492;0;0;0;0;0;0
2493;0;0;0;0;0;0
2494;0;0;4;0;0;0
2495;0;0;4;0;0;0
2496;0;0;0;0;0;0
2497;0;0;4;0;0;0
2498;0;0;4;0;0;0
2499;0;0;0;0;0;0
2500;0;0;0;0;0;0
2501;0;0;0;0;0;0
2502;0;0;0;0;0;35
2503;0;0;0;0;0;0
2504;0;0;8;5;0;0
2505;0;0;0;0;0;0
2506;0;0;4;0;0;0
2507;0;0;0;0;0;0
2508;0;0;0;0;0;0
2509;0;0;0;0;0;0
2510;0;0;0;0;0;0
2511;0;0;0;0;0;0
2512;0;0;0;0;0;0
2513;0;0;4;0;0;0
2514;0;0;4;0;0;0
2515;0;0;0;0;0;0
2516;0;0;0;0;0;0
2517;0;0;0;0;0;0
2518;0;0;4;0;0;0
2519;0;0;4;0;0;0
2520;0;0;0;0;0;0
2521;0;0;4;0;0;0
2522;0;0;0;0;0;0
2523;0;0;0;0;0;0
2524;0;0;0;0;0;0
2525;0;0;0;0;0;0
2526;0;0;4;0;0;0
2527;0;0;0;0;0;0
2528;0;0;8;0;0;0
2529;0;0;0;0;0;0
2530;0;0;0;0;0;0
2531;0;0;4;0;0;0
2532;0;0;4;0;0;0
2533;0;0;4;0;0;0
