"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
52;"Pays de la Loire";"44";3;9;69;"44069";"Guérande";16151;582;16733;108;201;8;175;230;140
52;"Pays de la Loire";"44";3;19;129;"44129";"Pontchâteau";11075;283;11358;54;134;4;20;0;70
52;"Pays de la Loire";"44";3;20;131;"44131";"Pornic";17910;445;18355;54;201;8;220;161;210
52;"Pays de la Loire";"44";3;2;132;"44132";"Pornichet";12121;309;12430;108;134;8;60;322;70
52;"Pays de la Loire";"44";3;23;154;"44154";"Saint-Brevin-les-Pins";14411;363;14774;54;134;16;20;46;70
52;"Pays de la Loire";"44";2;4;172;"44172";"Sainte-Luce-sur-Loire";15527;257;15784;162;67;4;35;0;105
52;"Pays de la Loire";"44";2;4;204;"44204";"Thouaré-sur-Loire";10783;171;10954;54;134;8;10;23;35
52;"Pays de la Loire";"44";5;5;209;"44209";"Treillières";10230;260;10490;162;67;4;5;46;0
24;"Centre-Val de Loire";"45";1;2;4;"45004";"Amilly";13267;568;13835;108;201;12;75;92;70
24;"Centre-Val de Loire";"45";1;2;68;"45068";"Châlette-sur-Loing";12728;226;12954;108;67;8;10;23;35
24;"Centre-Val de Loire";"45";2;19;75;"45075";"La Chapelle-Saint-Mesmin";10218;196;10414;162;201;8;0;0;35
24;"Centre-Val de Loire";"45";1;7;155;"45155";"Gien";13387;398;13785;54;134;4;100;46;175
24;"Centre-Val de Loire";"45";1;11;208;"45208";"Montargis";15061;439;15500;216;268;8;265;0;210
24;"Centre-Val de Loire";"45";2;19;285;"45285";"Saint-Jean-de-la-Ruelle";16594;246;16840;216;67;4;75;92;0
24;"Centre-Val de Loire";"45";2;15;302;"45302";"Saran";16679;209;16888;162;134;4;140;92;35
75;"Nouvelle-Aquitaine";"47";2;98;157;"47157";"Marmande";17239;502;17741;216;201;16;225;92;315
76;"Occitanie";"48";2;99;95;"48095";"Mende";12316;771;13087;108;335;8;95;207;105
52;"Pays de la Loire";"49";1;4;15;"49015";"Avrillé";14938;392;15330;216;134;24;15;69;0
52;"Pays de la Loire";"49";3;8;18;"49018";"Baugé-en-Anjou";11757;240;11997;108;268;128;25;0;0
52;"Pays de la Loire";"49";1;86;50;"49050";"Brissac Loire Aubance";10895;280;11175;216;67;52;10;46;105
52;"Pays de la Loire";"49";2;16;69;"49069";"Orée d'Anjou";16709;311;17020;108;268;60;5;0;0
52;"Pays de la Loire";"49";3;14;125;"49125";"Doué-en-Anjou";11228;239;11467;54;67;20;25;23;70
52;"Pays de la Loire";"49";2;9;218;"49218";"Montrevault-sur-Èvre";15755;300;16055;54;201;68;5;0;35
52;"Pays de la Loire";"49";2;16;244;"49244";"Mauges-sur-Loire";18331;493;18824;108;335;60;25;23;105
52;"Pays de la Loire";"49";1;17;246;"49246";"Les Ponts-de-Cé";12725;546;13271;108;134;40;10;23;70
52;"Pays de la Loire";"49";1;7;307;"49307";"Loire-Authion";16416;576;16992;54;335;96;10;0;70
52;"Pays de la Loire";"49";4;20;331;"49331";"Segré-en-Anjou Bleu";17699;797;18496;54;335;56;50;46;70
52;"Pays de la Loire";"49";1;7;353;"49353";"Trélazé";15358;186;15544;162;134;20;40;0;35
28;"Normandie";"50";1;84;25;"50025";"Avranches";10240;508;10748;54;335;24;200;69;245
28;"Normandie";"50";2;14;41;"50041";"La Hague";11223;295;11518;54;67;0;0;0;0
28;"Normandie";"50";4;83;99;"50099";"Carentan-les-Marais";10220;156;10376;54;134;20;50;23;35
28;"Normandie";"50";1;13;218;"50218";"Granville";12581;698;13279;108;268;8;320;299;245
28;"Normandie";"50";4;99;502;"50502";"Saint-Lô";19373;808;20181;216;268;4;195;69;245
44;"Grand Est";"51";3;14;573;"51573";"Tinqueux";10552;130;10682;162;67;16;45;92;105
44;"Grand Est";"51";4;23;649;"51649";"Vitry-le-François";11454;208;11662;54;268;8;85;69;175
52;"Pays de la Loire";"53";1;88;62;"53062";"Château-Gontier-sur-Mayenne";16710;660;17370;108;134;32;155;46;35
52;"Pays de la Loire";"53";3;14;147;"53147";"Mayenne";12900;677;13577;54;335;8;125;69;175
44;"Grand Est";"54";3;6;304;"54304";"Laxou";14671;183;14854;378;268;8;35;23;140
44;"Grand Est";"54";1;7;323;"54323";"Longwy";15191;226;15417;54;201;0;45;46;105
44;"Grand Est";"54";2;98;329;"54329";"Lunéville";17755;296;18051;162;268;8;115;23;245
44;"Grand Est";"54";3;18;431;"54431";"Pont-à-Mousson";14338;210;14548;108;201;8;80;69;140
44;"Grand Est";"54";3;19;482;"54482";"Saint-Max";10073;86;10159;108;201;4;10;0;70
44;"Grand Est";"54";4;20;528;"54528";"Toul";15849;212;16061;108;268;8;85;46;175
44;"Grand Est";"54";3;6;578;"54578";"Villers-lès-Nancy";14761;325;15086;108;268;4;0;23;70
44;"Grand Est";"54";1;23;580;"54580";"Villerupt";10069;89;10158;54;67;4;25;0;70
44;"Grand Est";"55";1;98;29;"55029";"Bar-le-Duc";14668;564;15232;162;335;16;125;46;280
44;"Grand Est";"55";3;99;545;"55545";"Verdun";16689;969;17658;108;268;4;230;69;105
